City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,22.57,83,40,4.07,PN,1698379170
1,coquimbo,-29.9533,-71.3436,13.85,76,100,3.09,CL,1698379130
2,grytviken,-54.2811,-36.5092,1.62,97,100,6.42,GS,1698379171
3,port moresby,-9.4431,147.1797,30.68,66,75,5.14,PG,1698379171
4,waitangi,-43.9535,-176.5597,11.01,77,81,4.92,NZ,1698379171
5,st. john's,47.5649,-52.7093,8.39,87,75,4.12,CA,1698379126
6,klyuchi,52.2667,79.1667,-0.04,50,6,7.96,RU,1698379172
7,tangalle,6.024,80.7911,28.09,70,19,2.33,LK,1698379172
8,petropavlovsk-kamchatsky,53.0452,158.6483,3.03,59,0,5.0,RU,1698379173
9,blackmans bay,-43.0167,147.3167,15.51,52,34,0.89,AU,1698379173
10,bikaner,28.0167,73.3,28.15,27,74,4.07,IN,1698379173
11,essaouira,31.5125,-9.77,16.72,94,77,2.06,MA,1698379173
12,belle fourche,44.6714,-103.8522,-8.08,71,96,6.83,US,1698379174
13,isangel,-19.55,169.2667,30.06,84,75,3.09,VU,1698379174
14,bethel,41.3712,-73.414,16.74,72,0,0.45,US,1698379174
15,papatowai,-46.5619,169.4708,6.29,62,97,9.92,NZ,1698379174
16,chui,-33.6971,-53.4616,9.47,79,13,2.1,UY,1698379175
17,xuddur,4.1213,43.8894,23.92,84,100,6.08,SO,1698379175
18,tura,25.5198,90.2201,26.26,61,0,1.33,IN,1698379175
19,kodiak,57.79,-152.4072,6.73,81,100,6.17,US,1698379176
20,yaren,-0.5472,166.916,28.97,71,6,2.79,NR,1698379176
21,kabare,-2.4683,28.8242,17.17,90,100,1.13,CD,1698379158
22,tiksi,71.6872,128.8694,-14.66,97,99,2.34,RU,1698379176
23,bilibino,68.0546,166.4372,-18.87,100,58,1.46,RU,1698379177
24,ushuaia,-54.8,-68.3,2.81,52,0,0.51,AR,1698379177
25,nemuro,43.3236,145.575,11.8,77,99,1.88,JP,1698379177
26,margaret river,-33.95,115.0667,16.39,45,71,6.08,AU,1698379177
27,vorgashor,67.5833,63.95,-9.9,95,100,4.13,RU,1698379178
28,cadillac,44.2519,-85.4012,15.95,100,100,6.17,US,1698379178
29,hadibu,12.65,54.0333,26.76,81,84,4.22,YE,1698379178
